Group,X,Y
Aasu,8104.409399999946,6087.917000001296
Afao,3426.316999999981,3834.228000000119
Afono,19620.830799999938,10717.476000001654
Agugulu,1396.334600000002,3427.2030000016093
Alao,28474.623500000045,10435.223000001162
Alega,20792.17459999997,9026.0270000007
Alofau,25039.61440000002,8959.908000001684
Amaluia,4746.199900000007,3788.299000000581
Amanave,0.0,3773.587000001222
Amaua,22329.60680000001,9827.063000001013
Amouli,26400.428000000014,9273.327000001445
Anua,15634.24099999998,9824.566000001505
Aoa,26560.566399999952,10332.531000001356
Aoloau,5784.552599999995,5945.57300000079
Asili,4145.200000000012,3998.3090000003576
Atuu,15897.376899999974,9786.013000000268
Aua,18442.467800000042,9511.80700000003
Auasi,27570.962699999975,9812.467000000179
Aumi,20019.404099999985,8620.686000000685
Aunuu,30147.305400000012,8093.234000001103
Auto,21805.0772,9342.574000000954
Avaio,21336.90699999995,9155.95300000161
Fagaalu,15921.470700000005,7399.7560000009835
Fagaitua,23494.138800000015,10086.256000000983
Fagalii,967.6436000000103,4968.75500000082
Fagamalo,3715.98550000001,6223.191000001505
Faganeanea,14716.860199999937,6402.822000000626
Fagasa,11663.921299999987,7642.01600000076
Fagatogo,15059.881899999978,8128.869000000879
Failolo,931.2792999999947,3538.104000000283
Faleniu,9641.095599999942,3290.044000001624
Fatumafuti,16644.498899999948,6720.809000000358
Futiga,7852.205499999982,324.03800000064075
Iliili,9970.903099999938,1436.071000000462
Laulii,19019.749699999986,8146.426000000909
Leloaloa,16729.92399999994,10069.47500000149
Leone,5764.535299999989,2538.849000001326
Malaeimi,10562.758100000035,5274.254000000656
Malaeloa_Aitulagi,6995.193299999984,2960.877000000328
Malaeloa_Ituau,6994.354699999967,1669.9500000011176
Maloata,2372.7509999999893,5399.215000001714
Mapusagafou,8837.508600000001,4360.212000001222
Masausi,24230.207400000014,10776.648000000045
Masefau,21758.306099999987,10838.037000000477
Matuu,15459.77039999998,6787.802000001073
Mesepa,9711.748100000026,4218.08900000155
Nua,2798.978000000003,3975.544000001624
Nuuuli,12845.84110000002,5487.328999999911
Onenoa,27428.602799999935,11390.8040000014
Pagai,24636.612999999954,9840.311000000685
Pago,13921.64069999993,9206.666000001132
Pavaiai,8664.962499999965,2670.794000001624
Poloa,21.45759999996517,4381.50500000082
Sailele,25305.866100000043,10525.240000000224
Seetaga,2208.2459999999846,3989.7750000003725
Tafuna,11608.437499999942,2935.0390000008047
Taputimu,6726.654900000023,514.7520000003278
Tula,28455.253800000006,11563.669000001624
Utulei,16122.918800000043,8146.148000000045
Utumea East,28227.710499999986,9797.529000001028
Utumea West,1720.784799999965,3706.5060000009835
Vailoatai,6069.01059999998,0.0
Vaitogi,9971.61050000001,319.2170000001788
Vatia,17038.027900000045,11433.218000000343
