,a,b,c,d,e,f,g,h,i,j
a,0.0,366.0,814.0,372.0,774.0,789.0,1006.0,643.0,882.0,344.0
b,366.0,0.0,628.0,233.0,520.0,447.0,723.0,389.0,544.0,346.0
c,814.0,628.0,0.0,454.0,177.0,447.0,309.0,948.0,913.0,480.0
d,372.0,233.0,454.0,0.0,403.0,464.0,636.0,620.0,730.0,135.0
e,774.0,520.0,177.0,403.0,0.0,270.0,235.0,799.0,740.0,477.0
f,789.0,447.0,447.0,464.0,270.0,0.0,340.0,597.0,479.0,586.0
g,1006.0,723.0,309.0,636.0,235.0,340.0,0.0,936.0,800.0,712.0
h,643.0,389.0,948.0,620.0,799.0,597.0,936.0,0.0,313.0,734.0
i,882.0,544.0,913.0,730.0,740.0,479.0,800.0,313.0,0.0,863.0
j,344.0,346.0,480.0,135.0,477.0,586.0,712.0,734.0,863.0,0.0
